	TaskID		GiftID		GiftType	TaskType	Responsible
    -----------------------------------------------------------------------------------------------------------------------
	1		2		1		C		A 
	2		1		3		A		B 
	3		1		3		C		B 
	4		3		4		Q		S 
	5		2		1		D		S 
	6		1		3		D		S 
	7		4		1		C		B 
	8		3		4		P		A 
	9		4		1		D		S 
	10		3		4		C		A 
	11		5		4		Q		S 
	12		3		4		D		S 
	13		6		3		A		B 
	14		5		4		P		A 
	15		6		3		C		B 
	16		6		3		D		S 
	17		5		4		C		A 
	18		7		3		A		B 
	19		5		4		D		S 
	20		9		1		C		B 
	21		8		2		P		A 
	22		7		3		C		B 
	23		9		1		D		S 
	24		10		1		C		B 
	25		7		3		D		S 
	26		10		1		D		S 
	27		8		2		C		A 
	28		8		2		D		S 
	29		11		1		C		B 
	30		11		1		D		S 
	31		13		1		C		B 
	32		12		2		P		A 
	33		13		1		D		S 
	34		12		2		C		B 
	35		12		2		D		S 
	36		15		1		C		B 
	37		15		1		D		S 
	38		16		1		C		B 
	39		14		2		P		A 
	40		16		1		D		S 
	41		17		1		C		B 
	42		14		2		C		A 
	43		18		4		Q		S 
	44		17		1		D		S 
	45		14		2		D		S 
	46		18		4		P		A 
	47		18		4		C		A 
	48		20		1		C		B 
	49		18		4		D		S 
	50		20		1		D		S 
	51		21		1		C		B 
	52		21		1		D		S 
	53		22		1		C		B 
	54		19		2		P		A 
	55		22		1		D		S 
	56		19		2		C		A 
	57		23		3		A		B 
	58		19		2		D		S 
	59		24		1		C		A 
	60		24		1		D		S 
	61		23		3		C		B 
	62		23		3		D		S 
	62		25		1		C		A 
	63		26		1		C		B 
	64		25		1		D		S 
	65		26		1		D		S 
	66		28		1		C		B 
	67		27		2		P		A 
	68		28		1		D		S 
	69		29		1		C		B 
	70		29		1		D		S 
	71		27		2		C		A 
	72		27		2		D		S 
	73		30		1		C		A 
	74		30		1		D		S 
	75		31		3		A		B 
	76		32		1		C		A 
	77		32		1		D		S 
	78		31		3		C		B 
	79		33		1		C		B 
	80		31		3		D		S 
	81		33		1		D		S 
	82		34		1		C		B 
	83		34		1		D		S 
	84		35		1		C		B 
	85		35		1		D		S 
	86		36		1		C		B 
	87		36		1		D		S 
	88		37		1		C		A 
	89		37		1		D		S 
	90		38		3		A		B 
	91		39		1		C		A 
	92		39		1		D		S 
	93		38		3		C		B 
	94		38		3		D		S 
	95		41		1		C		B 
	96		41		1		D		S 
	97		40		2		P		A 
	98		40		2		C		A 
	99		40		2		D		S 
	100		43		1		C		B 
	101		43		1		D		S 
	102		44		1		C		B 
	103		42		2		P		A 
	104		44		1		D		S 
	105		42		2		C		A 
	106		45		3		A		B 
	107		42		2		D		S 
	108		46		1		C		A 
	109		46		1		D		S 
	110		45		3		C		B 
	111		48		4		Q		S 
	112		45		3		D		S 
	113		47		3		A		B 
	114		48		4		P		A 
	115		49		1		C		B 
	116		50		1		C		B 
	117		51		4		Q		S 
	118		47		3		C		B 
	119		49		1		D		S 
	120		52		1		C		A 
	121		50		1		D		S 
	122		48		4		C		B 
	123		47		3		D		S 
	124		53		1		C		A 
	125		52		1		D		S 
	126		54		1		C		B 
	127		48		4		D		S 
	128		55		1		C		A 
	129		53		1		D		S 
	130		54		1		D		S 
	131		55		1		D		S 
	132		56		3		A		B 
	133		51		4		P		A 
	134		56		3		C		B 
	136		56		3		D		S 
	135		51		4		C		A 
	137		51		4		D		S 
	138		59		1		C		B 
	139		57		2		P		A 
	141		60		1		C		B 
	140		59		1		D		S 
	142		57		2		C		A 
	143		60		1		D		S 
	144		57		2		D		S 
	145		61		1		C		B 
	146		61		1		D		S 
	147		58		2		P		A 
	148		58		2		C		A 
	149		58		2		D		S 
	150		63		3		A		B 
	151		62		2		P		A 
	152		64		1		C		B 
	153		63		3		C		A 
	154		65		4		Q		S 
	155		62		2		C		B 
	156		64		1		D		S 
	157		67		1		C		B 
	158		63		3		D		S 
	159		62		2		D		S 
	160		68		1		C		B 
	161		65		4		P		A 
	162		67		1		D		S 
	163		69		1		C		A 
	164		66		4		Q		S 
	165		65		4		C		B 
	166		68		1		D		S 
	167		69		1		D		S 
	168		70		1		C		A 
	169		65		4		D		S 
	170		71		1		C		B 
	171		72		1		C		A 
	171		70		1		D		S 
	172		71		1		D		S 
	173		72		1		D		S 
	174		73		3		A		B 
	175		66		4		P		A 
	176		73		3		C		B 
	177		66		4		C		A 
	178		73		3		D		S 
	179		66		4		D		S 
	180		75		3		A		B 
	181		74		2		P		A 
	182		76		1		C		B 
	183		76		1		D		S 
	184		75		3		C		A 
	185		74		2		C		A 
	186		75		3		D		S 
	187		74		2		D		S 
	188		79		1		C		B 
	189		79		1		D		S 
	190		77		3		A		B 
	191		78		2		P		A 
	192		80		1		C		B 
	193		80		1		D		S 
	194		77		3		C		B 
	195		77		3		D		S 
	196		78		2		C		A 
	197		78		2		D		S 
	198		82		1		C		B 
	199		82		1		D		S 
	200		81		2		P		A 
	201		83		3		A		B 
	202		84		1		C		A 
	203		84		1		D		S 
	204		81		2		C		B 
	205		81		2		D		S 
	206		83		3		C		A 
